id,full_name,last_name
1630346,Matt Ryan,Ryan
717,Arvydas Sabonis,Sabonis
1627734,Domantas Sabonis,Sabonis
203135,Robert Sacre,Sacre
78050,Ed Sadowski,Sadowski
78051,Kenny Sailors,Sailors
927,John Salley,Salley
2422,John Salmons,Salmons
1089,Kevin Salvadori,Salvadori
2066,Soumaila Samake,Samake
1629677,Luka Samanic,Samanic
200798,Cheikh Samb,Samb
1629102,Brandon Sampson,Sampson
203960,JaKarr Sampson,Sampson
2441,Jamal Sampson,Sampson
78055,Ralph Sampson,Sampson
202396,Samardo Samuels,Samuels
2143,Pepe Sanchez,Sanchez
78057,Frankie Sanders,Sanders
1874,Jeff Sanders,Sanders
202336,Larry Sanders,Sanders
2684,Melvin Sanders,Sanders
78059,Mike Sanders,Sanders
78060,Thomas Sanders,Sanders
2091,Daniel Santiago,Santiago
78061,Bob Santini,Santini
78062,Wayne Sappleton,Sappleton
203967,Dario Saric,Saric
1630846,Olivier Sarr,Sarr
987,Jason Sasser,Sasser
2219,Jeryl Sasser,Sasser
203107,Tomas Satoransky,Satoransky
2261,Kenny Satterfield,Satterfield
78063,Frank Saul,Saul
78064,Woody Sauldsberry,Sauldsberry
78065,Fred Saunders,Saunders
78066,Don Savage,Savage
2453,Predrag Savovic,Savovic
78067,Alan Sawyer,Sawyer
2243,Brian Scalabrine,Scalabrine
2637,Alex Scales,Scales
78068,Dewayne Scales,Scales
78069,Frank Schade,Schade
78070,Ben Schadler,Schadler
78071,Herm Schaefer,Schaefer
78072,Bob Schafer,Schafer
1630648,Jordan Schakel,Schakel
78073,Ben Scharnus,Scharnus
78074,Marv Schatzman,Schatzman
78075,Fred Schaus,Schaus
7,Dan Schayes,Schayes
78076,Dolph Schayes,Schayes
78078,Ossie Schectman,Schectman
88,Steve Scheffler,Scheffler
78080,Tom Scheffler,Scheffler
78081,Dave Schellhase,Schellhase
101195,Luke Schenscher,Schenscher
78082,Herb Scherer,Scherer
368,Dwayne Schintzius,Schintzius
78084,Dale Schlueter,Schlueter
78085,Otto Schnellbacher,Schnellbacher
78086,Dick Schnittker,Schnittker
78087,Russ Schoene,Schoene
1629678,Admiral Schofield,Schofield
78088,Dave Scholz,Scholz
78089,Milt Schoon,Schoon
96,Detlef Schrempf,Schrempf
